"","file","dataset","px.cm","genotype","node","top_x","top_y","bottom_x","bottom_y"
"1","BW_10003_1.jpg","apple",81.93,"10003",NA,580.75,150.625,625.25,715.125
"2","BW_10003_11.jpg","apple",81.93,"10003",NA,537,145.75,540.75,731.312
"3","BW_10003_13.jpg","apple",81.93,"10003",NA,585.5,174,559.312,719.312
"4","BW_10003_15.jpg","apple",81.93,"10003",NA,623.719,159.594,583.812,732.312
"5","BW_10003_17.jpg","apple",81.93,"10003",NA,575.188,166.625,586.031,698.406
"6","BW_10003_19.jpg","apple",81.93,"10003",NA,524.833,149.75,548.25,713.375
"7","BW_10003_3.jpg","apple",81.93,"10003",NA,555.25,175.625,592.188,660.375
"8","BW_10003_5.jpg","apple",81.93,"10003",NA,587.344,186.594,586.167,686.167
"9","BW_10003_7.jpg","apple",81.93,"10003",NA,576.333,139.833,576.5,705.25
"10","BW_10004_1.jpg","apple",81.93,"10004",NA,553.812,150.625,506.438,730.375
"11","BW_10004_11.jpg","apple",81.93,"10004",NA,550.75,143.688,537.375,684.125
"12","BW_10004_13.jpg","apple",81.93,"10004",NA,573.312,124.594,535.125,707.375
"13","BW_10004_15.jpg","apple",81.93,"10004",NA,606.562,179.688,532.167,691.25
"14","BW_10004_17.jpg","apple",81.93,"10004",NA,541.688,172.688,568.917,708.25
"15","BW_10004_19.jpg","apple",81.93,"10004",NA,555.25,154.625,542.562,718.375
"16","BW_10004_3.jpg","apple",81.93,"10004",NA,569.812,142.625,570.625,694.125
"17","BW_10004_5.jpg","apple",81.93,"10004",NA,571.583,162.667,528.5,697.125
"18","BW_10004_7.jpg","apple",81.93,"10004",NA,556.75,180.625,569.938,717.312
"19","BW_10004_9.jpg","apple",81.93,"10004",NA,579.281,151.625,568.375,720.25
"20","BW_10006_1.jpg","apple",81.93,"10006",NA,539.75,161.667,549.5,673
"21","BW_10006_11.jpg","apple",81.93,"10006",NA,543.833,127.667,547.75,668
"22","BW_10006_13.jpg","apple",81.93,"10006",NA,591.188,156.688,524.833,686.25
"23","BW_10006_15.jpg","apple",81.93,"10006",NA,561.125,176.75,556,649.25
"24","BW_10006_17.jpg","apple",81.93,"10006",NA,535.875,182.688,571.75,673.25
"25","BW_10006_19.jpg","apple",81.93,"10006",NA,579.208,159.583,506,668.25
"26","BW_10006_3.jpg","apple",81.93,"10006",NA,618.281,146.656,541.708,699.333
"27","BW_10006_5.jpg","apple",81.93,"10006",NA,544.656,161.656,613.083,636.25
"28","BW_10006_7.jpg","apple",81.93,"10006",NA,542.219,166.594,588.167,681.25
"29","BW_10006_9.jpg","apple",81.93,"10006",NA,517.625,174.625,573.208,683.417
"30","BW_10009_11.jpg","apple",81.93,"10009",NA,582.531,167.594,573.625,700.25
"31","BW_10009_13.jpg","apple",81.93,"10009",NA,533.875,157.625,563.5,731.375
"32","BW_10009_15.jpg","apple",81.93,"10009",NA,558.312,137.688,562.625,740.125
"33","BW_10009_3.jpg","apple",81.93,"10009",NA,549.188,126.688,504.125,713
"34","BW_10009_5.jpg","apple",81.93,"10009",NA,563.083,112.833,543.917,720.333
"35","BW_10009_9.jpg","apple",81.93,"10009",NA,568.75,168.625,560.688,710.375
"36","BW_10013_17.jpg","apple",81.93,"10013",NA,570.875,88.625,546.167,752.375
"37","BW_10013_19.jpg","apple",81.93,"10013",NA,545.062,133.688,551.083,747.25
"38","BW_10013_9.jpg","apple",81.93,"10013",NA,529.417,118.75,580.667,735.333
"39","BW_10015_1.jpg","apple",81.93,"10015",NA,546.333,80.75,536.688,737.375
"40","BW_10015_13.jpg","apple",81.93,"10015",NA,633,135.667,543.833,725.25
"41","BW_10015_15.jpg","apple",81.93,"10015",NA,572.938,123.688,542.656,760.406
"42","BW_10015_17.jpg","apple",81.93,"10015",NA,558.917,99.75,555.125,731.125
"43","BW_10015_19.jpg","apple",81.93,"10015",NA,582.062,114.688,569.5,735.333
"44","BW_10015_3.jpg","apple",81.93,"10015",NA,563.562,126.625,566.083,746.25
"45","BW_10015_9.jpg","apple",81.93,"10015",NA,608.125,127.688,553.938,755.312
"46","BW_10019_11.jpg","apple",81.93,"10019",NA,610.167,209.667,529,726.25
"47","BW_10019_13.jpg","apple",81.93,"10019",NA,590.688,227.562,569.812,719.312
"48","BW_10019_15.jpg","apple",81.93,"10019",NA,488.708,192.667,607,722.125
"49","BW_10019_17.jpg","apple",81.93,"10019",NA,594.875,226.875,511,711.125
"50","BW_10019_19.jpg","apple",81.93,"10019",NA,590.167,163.75,554.594,764.406
"51","BW_10019_3.jpg","apple",81.93,"10019",NA,508.667,157.625,512.125,732.125
"52","BW_10019_7.jpg","apple",81.93,"10019",NA,570.25,160.688,598.312,722.375
"53","BW_10019_9.jpg","apple",81.93,"10019",NA,521.812,148.625,552,737.125
"54","BW_10031_1.jpg","apple",81.93,"10031",NA,594.875,159.875,535.833,706.167
"55","BW_10031_11.jpg","apple",81.93,"10031",NA,580.188,138.688,561.917,738.333
"56","BW_10031_13.jpg","apple",81.93,"10031",NA,552.688,183.625,563.5,686.25
"57","BW_10031_15.jpg","apple",81.93,"10031",NA,579.833,161.75,582.5,661.125
"58","BW_10031_17.jpg","apple",81.93,"10031",NA,568.333,192.75,560.156,703.406
"59","BW_10031_19.jpg","apple",81.93,"10031",NA,565.625,145.688,578.344,698.375
"60","BW_10031_3.jpg","apple",81.93,"10031",NA,581.219,169.625,545.417,696.25
"61","BW_10031_5.jpg","apple",81.93,"10031",NA,537.292,163.667,576.167,683.167
"62","BW_10031_7.jpg","apple",81.93,"10031",NA,533.208,188.625,623.375,670.375
"63","BW_10031_9.jpg","apple",81.93,"10031",NA,604.25,228.667,519.125,716.125
"64","BW_10046_11.jpg","apple",81.93,"10046",NA,554,166.594,564.25,733.333
"65","BW_10046_13.jpg","apple",81.93,"10046",NA,559.583,195.625,544.917,721.25
"66","BW_10046_15.jpg","apple",81.93,"10046",NA,583.062,185.688,554,713.312
"67","BW_10046_19.jpg","apple",81.93,"10046",NA,567.281,185.594,569.25,698.312
"68","BW_10046_5.jpg","apple",81.93,"10046",NA,617.188,167.625,555.938,740.312
"69","BW_10046_7.jpg","apple",81.93,"10046",NA,597.188,165.688,551.208,709.333
"70","BW_10046_9.jpg","apple",81.93,"10046",NA,543.75,151.688,535.25,719
"71","BW_10047_1.jpg","apple",81.93,"10047",NA,555.75,176.75,560.25,710.125
"72","BW_10047_11.jpg","apple",81.93,"10047",NA,557.438,202.625,561.25,721
"73","BW_10047_13.jpg","apple",81.93,"10047",NA,573.25,173.625,535.5,709.312
"74","BW_10047_15.jpg","apple",81.93,"10047",NA,556,177.667,561.167,752.167
"75","BW_10047_17.jpg","apple",81.93,"10047",NA,532.75,141.625,556.917,711.25
"76","BW_10047_19.jpg","apple",81.93,"10047",NA,501.708,117.667,583.188,713.312
"77","BW_10047_3.jpg","apple",81.93,"10047",NA,591.188,176.688,574,694.125
"78","BW_10047_5.jpg","apple",81.93,"10047",NA,625.083,203.75,512.75,753.312
"79","BW_10047_7.jpg","apple",81.93,"10047",NA,620.188,137.75,483.75,722.333
"80","BW_10048_1.jpg","apple",81.93,"10048",NA,579.083,172.833,577.167,733.25
"81","BW_10048_11.jpg","apple",81.93,"10048",NA,575.938,159.688,545.75,759.333
